iter	Logloss
0	0.5366212745
1	0.4200718321
2	0.3576911473
3	0.3117579877
4	0.2687103606
5	0.2356808318
6	0.2173107984
7	0.2000742889
8	0.190949035
9	0.1843536532
10	0.1774663939
11	0.1736208209
12	0.1666772031
13	0.1632755878
14	0.1597860135
15	0.1585623335
16	0.1543970981
17	0.1535530034
18	0.1510591929
19	0.1482192351
20	0.1460751478
21	0.1451590995
22	0.1437191752
23	0.1429917116
24	0.1413871616
25	0.1413430666
26	0.1407356093
27	0.1396432161
28	0.1390390681
29	0.1378907216
30	0.137884285
31	0.1377133197
32	0.1362969756
33	0.1361114738
34	0.1357293903
35	0.1343643414
36	0.1334827472
37	0.133429037
38	0.1334255875
39	0.132293345
40	0.1314219006
41	0.1304396098
42	0.1294694603
43	0.1294661009
44	0.1285085106
45	0.1280552791
46	0.1280520542
47	0.12794262
48	0.1274401957
49	0.1272356835
50	0.1272022192
51	0.1266911156
52	0.1265877848
53	0.1265837779
54	0.1263835582
55	0.1259500903
56	0.1257009223
57	0.1255051807
58	0.1249715916
59	0.1248905799
60	0.1248848137
61	0.1243154989
62	0.12377209
63	0.1237701969
64	0.1229054815
65	0.1222955804
66	0.1217739399
67	0.1217683027
68	0.121187092
69	0.1211618504
70	0.1208552634
71	0.1203910493
72	0.1198550449
73	0.1194816278
74	0.1193008967
75	0.1186986574
76	0.1185529002
77	0.1183537438
78	0.1181435876
79	0.1173026421
80	0.117208218
81	0.1171367088
82	0.1164254254
83	0.1162011079
84	0.1154956598
85	0.1154935692
86	0.115149921
87	0.1150412276
88	0.1144182786
89	0.1137281335
90	0.1135268471
91	0.112720898
92	0.1123690601
93	0.1122194964
94	0.111858086
95	0.1116502361
96	0.1109863132
97	0.1105121314
98	0.1101485424
99	0.1097337259
100	0.1089052946
101	0.1086858739
102	0.1084215691
103	0.1082169318
104	0.107408888
105	0.1068589816
106	0.1064820777
107	0.1061422987
108	0.1058470256
109	0.1050422626
110	0.1047688761
111	0.104694802
112	0.1043042142
113	0.1038345754
114	0.1036385056
115	0.1032691731
116	0.1027592885
117	0.1025809696
118	0.1021989411
119	0.1019281971
120	0.1015271733
121	0.100982595
122	0.1004206301
123	0.0999663175
124	0.09961321854
125	0.09929193746
126	0.0990240413
127	0.0985566414
128	0.09831731632
129	0.09807727632
130	0.09783997351
131	0.09734324053
132	0.09690663623
133	0.09659915469
134	0.09623426057
135	0.09570861187
136	0.09556778719
137	0.09470635857
138	0.09397116192
139	0.09382157336
140	0.09359446902
141	0.09335227185
142	0.0928820858
143	0.09260400903
144	0.09241951148
145	0.09223501391
146	0.09171483837
147	0.09162868276
148	0.09133095018
149	0.0907311059
150	0.09031560074
151	0.08994807612
152	0.08965750438
153	0.08921582677
154	0.08887463358
155	0.08825559962
156	0.08810750376
157	0.08754792212
158	0.08749932151
159	0.08724250837
160	0.08680455857
161	0.08646544798
162	0.08613269774
163	0.08607930446
164	0.08590604649
165	0.08565458968
166	0.08537837557
167	0.08511329288
168	0.08473631211
169	0.08466006248
170	0.08406274451
171	0.08373865538
172	0.0834410356
173	0.08301821609
174	0.08257822686
175	0.08231166658
176	0.08221912524
177	0.08190513197
178	0.08151219012
179	0.08102657626
180	0.08081341214
181	0.08067239304
182	0.0806358703
183	0.08040312267
184	0.08015974139
185	0.08007087883
186	0.08004060703
187	0.07952282262
188	0.07916766617
189	0.07893222655
190	0.07886792614
191	0.07825609797
192	0.07790307791
193	0.07771205698
194	0.07730183882
195	0.07713169205
196	0.07697388144
197	0.07681830777
198	0.07665594328
199	0.07648643586
200	0.07609197582
201	0.07602984529
202	0.07575996639
203	0.07543580133
204	0.07523258109
205	0.07488900419
206	0.07444033406
207	0.07438952253
208	0.07425963891
209	0.07418343269
210	0.07414668066
211	0.07383162767
212	0.07359213408
213	0.07348988551
214	0.07323099016
215	0.07267081988
216	0.07240969511
217	0.07230018481
218	0.07187314102
219	0.07184521047
220	0.07148967398
221	0.0713144138
222	0.07117253184
223	0.0711323246
224	0.07099735537
225	0.07065569034
226	0.07054018607
227	0.07044718806
228	0.06994369996
229	0.06982980825
230	0.06963192406
231	0.06951294977
232	0.06933861151
233	0.06927082292
234	0.06899091632
235	0.06875963416
236	0.06845359348
237	0.06834350031
238	0.06832123745
239	0.06816910582
240	0.06788099409
241	0.0677406043
242	0.06771993849
243	0.06751385051
244	0.06725823249
245	0.06693834284
246	0.06670600812
247	0.06663290543
248	0.06647500266
249	0.06641036715
250	0.06597395943
251	0.06573664801
252	0.06528093121
253	0.06517137712
254	0.06506434824
255	0.06493324833
256	0.06469946256
257	0.06439295033
258	0.06396096342
259	0.06378917476
260	0.06359403262
261	0.06339024365
262	0.06324519446
263	0.06294668317
264	0.06277834793
265	0.06262999057
266	0.0624838372
267	0.06229733055
268	0.0621137643
269	0.0619694767
270	0.06165285298
271	0.06130917755
272	0.06104336598
273	0.06069051055
274	0.06016300484
275	0.06014288664
276	0.06006176895
277	0.05994271728
278	0.05962299172
279	0.05949736838
280	0.05930903831
281	0.0592087284
282	0.05888512745
283	0.05862938964
284	0.05837623202
285	0.05828023013
286	0.05801280923
287	0.05756989198
288	0.05736552563
289	0.05725159492
290	0.0570822978
291	0.05698665366
292	0.05687271115
293	0.05671766987
294	0.05659075658
295	0.0563377482
296	0.05620807513
297	0.05605276434
298	0.05577277024
299	0.05564013996
300	0.05562291267
301	0.05558548341
302	0.05536907363
303	0.05524325916
304	0.05498584663
305	0.05482461356
306	0.05463270776
307	0.05461827403
308	0.05451224121
309	0.05432712325
310	0.05390215787
